ANNEE,PREMPRENOM,NOMBREPREMPRENOM,ORDRE
2013,MAXIME,48,15
2013,EMMA,46,16
2013,MANON,46,17
2013,SACHA,45,18
2013,ALICE,44,19
2013,JADE,44,20
2013,ENZO,42,21
2013,NATHAN,41,22
2013,CHLOÉ,40,23
2013,CLÉMENT,40,24
2013,LÉA,40,25
2013,SARAH,39,26
2013,THÉO,39,27
2013,ANTOINE,37,28
2013,GABIN,37,29
2013,NOLAN,37,30
2013,TIMÉO,37,31
2013,AXEL,34,32
2013,LINA,34,33
2013,SAMUEL,34,34
2013,LOU,33,35
2013,ZOÉ,33,36
2013,JULIETTE,32,37
2013,MAËL,32,38
2013,MATHIS,32,39
2013,LIAM,31,40
2013,LOLA,31,41
2013,ANNA,30,42
2013,BAPTISTE,30,43
2013,CHARLOTTE,30,44
2013,CLARA,30,45
2013,YANIS,30,46
2013,JEANNE,29,47
2013,MAXENCE,29,48
2013,VICTOR,29,49
2013,CHARLIE,27,50
2013,MARTIN,27,51
2013,GASPARD,26,52
2013,OSCAR,26,53
2013,SIMON,26,54
2013,LÉONIE,25,55
2013,LUCIE,25,56
2013,MARGAUX,25,57
2013,MILA,25,58
2013,NINA,25,59
2013,THOMAS,25,60
2013,VALENTIN,25,61
2013,ALEXANDRE,24,62
2013,NOAH,24,63
2013,AMBRE,23,64
2013,EVA,23,65
2013,MARGOT,23,66
2013,MATHILDE,23,67
2013,ROMANE,23,68
2013,TOM,23,69
2013,LÉNA,22,70
2013,SASHA,22,71
2013,CAPUCINE,21,72
2013,AGATHE,20,73
2013,EDEN,20,74
2013,ELISE,20,75
2013,JULIA,20,76
2013,MARIUS,20,77
2013,NINO,20,78
2013,RAYAN,20,79
2013,TIMOTHÉE,20,80
2013,ALEXIS,19,81
2013,ANAÏS,19,82
2013,CLÉMENCE,19,83
2013,ESTEBAN,19,84
2013,LOUNA,19,85
2013,JUSTINE,18,86
2013,LANA,18,87
2013,LILOU,18,88
2013,PAULINE,18,89
2013,ROBIN,18,90
2013,LILY,17,91
2013,MAËLYS,17,92
2013,NOÉ,17,93
2013,AARON,16,94
2013,INAYA,16,95
2013,KYLIAN,16,96
2013,LENNY,16,97
2013,MARIE,16,98
2013,TIAGO,16,99
2013,ADÈLE,15,100
2012,GABRIEL,76,1
2012,ARTHUR,65,2
2012,LOUIS,62,3
2012,LUCAS,59,4
2012,LOUISE,56,5
2012,NATHAN,53,6
2012,EMMA,52,7
2012,ENZO,52,8
2012,JULIETTE,51,9
2012,PAUL,51,10
2012,CAMILLE,50,11
2012,CHLOÉ,50,12
2012,JULES,50,13
2012,RAPHAËL,50,14
2012,CLÉMENT,48,15
2012,HUGO,47,16
2012,LÉA,47,17
2012,LÉO,47,18
2012,JADE,46,19
2012,MANON,45,20
2012,SACHA,44,21
2012,ZOÉ,44,22
2012,INÈS,42,23
2012,MAËL,41,24
2012,THOMAS,40,25
2012,ANTOINE,38,26
2012,BAPTISTE,38,27
2012,TOM,37,28
2012,ALICE,36,29
2012,ETHAN,36,30
2012,LOLA,36,31
2012,NOLAN,36,32
